Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
,Afghanistan,51526,2191,41727,0,0,4.252222179
,Albania,58316,1181,33634,23501,2026.409062,2.025173194
,Algeria,99897,2762,67395,29740,227.8098608,2.764847793
,Andorra,8117,84,7463,570,10505.40348,1.034865098
,Angola,17568,405,11146,6017,53.45298103,2.305327869
,Antigua and Barbuda,159,5,148,6,162.3641859,3.144654088
,Argentina,1629594,43319,1426676,159599,3605.633332,2.658269483
,Armenia,159738,2828,143355,13555,5390.664389,1.770399028
Australian Capital Territory,Australia,118,3,114,1,27.56365335,2.542372881
New South Wales,Australia,4947,54,0,1696,60.93865484,1.091570649
Northern Territory,Australia,75,0,71,4,30.53745928,0
Queensland,Australia,1255,6,1224,25,24.5332812,0.478087649
South Australia,Australia,580,4,566,10,33.02021065,0.689655172
Tasmania,Australia,234,13,221,0,43.69747899,5.555555556
Victoria,Australia,20388,820,19539,29,307.5159505,4.02197371
Western Australia,Australia,863,9,838,16,32.80620391,1.042873696
,Austria,362911,6261,334901,21749,4029.479037,1.725216375
,Azerbaijan,219041,2670,188280,28091,2160.34342,1.218949877
,Bahamas,7887,171,6239,1477,2005.604606,2.168124762
,Bahrain,92913,352,90369,2192,5460.386005,0.378849031
,Bangladesh,514500,7576,458656,48268,312.4062952,1.47249757
,Barbados,395,7,319,69,137.4529789,1.772151899
,Belarus,196223,1433,178102,16688,2076.583069,0.730291556
Antwerp,Belgium,79680,0,0,79680,4288.514553,0
Brussels,Belgium,81557,0,0,81557,6748.379452,0
East Flanders,Belgium,65260,0,0,65260,4307.408796,0
Flemish Brabant,Belgium,49270,0,0,49270,4298.645495,0
Hainaut,Belgium,102209,0,0,102209,7603.472889,0
Liege,Belgium,97027,0,0,97027,8764.923324,0
Limburg,Belgium,29349,0,0,29349,3357.824742,0
Luxembourg,Belgium,18416,0,0,18416,6469.972386,0
Namur,Belgium,35462,0,0,35462,7173.82289,0
Unknown,Belgium,10701,19581,0,-8880,,182.9828988
Walloon Brabant,Belgium,25144,0,0,25144,6229.94606,0
West Flanders,Belgium,54214,0,0,54214,4533.716453,0
,Belize,10776,248,9795,733,2710.118429,2.301410542
,Benin,3251,44,3061,146,26.81635654,1.353429714
,Bhutan,689,0,449,240,89.29358279,0
,Bolivia,160985,9175,132510,19300,1379.119336,5.699288754
,Bosnia and Herzegovina,112143,4086,77682,30375,3418.144577,3.643562238
,Botswana,14805,42,12136,2627,629.5646627,0.283687943
Acre,Brazil,41689,796,33670,7223,4726.992352,1.909376574
Alagoas,Brazil,105091,2496,99710,2885,3148.928928,2.375084451
Amapa,Brazil,68361,926,52670,14765,8083.066602,1.354573514
Amazonas,Brazil,201574,5295,170178,26101,4863.536793,2.626826873
Bahia,Brazil,494684,9159,478198,7327,3326.039611,1.851484988
Ceara,Brazil,335992,9993,269846,56153,3679.250221,2.974177957
Distrito Federal,Brazil,252077,4263,241952,5862,8360.01974,1.691149926
Espirito Santo,Brazil,249260,5087,227931,16242,6202.580469,2.040840889
Goias,Brazil,309112,6805,298401,3906,4404.337541,2.201467429
Maranhao,Brazil,200959,4506,190884,5569,2840.33723,2.242248419
Mato Grosso,Brazil,179704,4467,170171,5066,5157.289524,2.485754352
Mato Grosso do Sul,Brazil,134750,2347,117816,14587,4848.890926,1.74174397
Minas Gerais,Brazil,546884,12001,494278,40605,2583.444657,2.194432457
Para,Brazil,293802,7199,275483,11120,3415.164599,2.450289651
Paraiba,Brazil,167062,3680,127030,36352,4157.708305,2.202775018
Parana,Brazil,418323,7993,305194,105136,3658.602179,1.910724488
Pernambuco,Brazil,222993,9666,189850,23477,2333.277633,4.334665214
Piaui,Brazil,143179,2840,139971,368,4374.245966,1.983531104
Rio Grande do Norte,Brazil,118353,2993,68394,46966,3374.906219,2.528875483
Rio Grande do Sul,Brazil,451912,8917,424406,18589,3972.070904,1.973171768
Rio de Janeiro,Brazil,435390,25600,397324,12466,2521.81545,5.879785939
Rondonia,Brazil,95999,1822,81122,13055,5401.623317,1.897936437
Roraima,Brazil,68710,787,65405,2518,11342.75729,1.145393684
Santa Catarina,Brazil,494447,5270,467020,22157,6901.069508,1.065837188
Sao Paulo,Brazil,1466191,46775,1287986,131430,3192.990778,3.190239198
Sergipe,Brazil,113544,2492,99824,11228,4939.496132,2.194743888
Tocantins,Brazil,90536,1236,80658,8642,5756.116541,1.365202792
,Brunei,157,3,149,5,35.88710876,1.910828025
,Bulgaria,202540,7604,120343,74593,2914.896786,3.754320134
,Burkina Faso,6828,85,5152,1591,32.66473325,1.244874048
,Burma,125042,2697,107777,14568,229.8152425,2.15687529
,Burundi,822,2,687,133,6.912918504,0.243309002
,Cabo Verde,11872,113,11569,190,2135.297884,0.951819407
,Cambodia,379,0,362,17,2.266885923,0
,Cameroon,26848,448,24892,1508,101.138166,1.668653159
Alberta,Canada,100428,1046,84827,14555,2275.655507,1.041542199
British Columbia,Canada,51990,901,42127,8962,1017.234285,1.733025582
Diamond Princess,Canada,0,1,0,,,
Grand Princess,Canada,13,0,13,0,,0
Manitoba,Canada,24700,667,19528,4505,1793.08132,2.700404858
New Brunswick,Canada,601,9,567,25,77.05197354,1.49750416
Newfoundland and Labrador,Canada,390,4,366,20,74.80364044,1.025641026
Northwest Territories,Canada,24,0,24,0,53.44735436,0
Nova Scotia,Canada,1486,65,1399,22,152.027148,4.374158816
Nunavut,Canada,266,1,262,3,685.9205776,0.37593985
Ontario,Canada,187344,4568,162622,20154,1273.424436,2.438295328
Prince Edward Island,Canada,94,0,89,5,59.43423665,0
Quebec,Canada,202641,8388,170045,24370,2373.49189,4.05939568
Repatriated Travellers,Canada,13,0,13,0,,0
Saskatchewan,Canada,15350,155,12496,2699,1299.013427,1.009771987
Yukon,Canada,60,1,59,0,146.0635863,1.666666667
,Central African Republic,4963,63,1924,2976,102.7586441,1.269393512
,Chad,2141,104,1704,333,13.03432594,4.857543204
Antofagasta,Chile,23887,585,22670,632,3931.79641,2.449030854
Araucania,Chile,23161,311,21736,1114,2419.600846,1.342774492
Arica y Parinacota,Chile,10859,225,10408,226,4803.421979,2.072013998
Atacama,Chile,8520,113,8328,79,2948.668254,1.32629108
Aysen,Chile,1588,15,1436,137,1539.386184,0.944584383
Biobio,Chile,47898,802,44427,2669,3076.685905,1.674391415
Coquimbo,Chile,14308,299,13731,278,1888.630466,2.089740006
Los Lagos,Chile,26170,263,24352,1555,3157.927762,1.00496752
Los Rios,Chile,9004,93,8239,672,2339.69187,1.032874278
Magallanes,Chile,17010,233,16264,513,10214.19178,1.369782481
Maule,Chile,25783,556,23574,1653,2467.390784,2.156459683
Metropolitana,Chile,319937,10813,304802,4322,4498.040718,3.379727884
Nuble,Chile,10821,218,9979,624,2251.518386,2.014601238
